label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiaestimate_margin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandestimate_margin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinaestimate_margin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseeestimate_margin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasestimate_margin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiaestimate_margin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiaestimate_margin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
    Moved in 2005 or later,282245,5474,47.1,0.8,156028,4679,43.4,1.2,190593,4518,56.4,1.0,143820,4224,57.6,1.4,465673,7142,55.2,0.7,172989,5618,44.4,1.3,57823,2733,56.2,2.3
    Moved in 2000 to 2004,101772,4622,17.0,0.8,66425,3669,18.5,1.0,61962,3270,18.3,1.0,35713,2785,14.3,1.1,132991,5345,15.8,0.6,77495,3834,19.9,1.0,22948,2015,22.3,2.0
    Moved in 1990 to 1999,101476,4264,16.9,0.7,68551,3264,19.1,0.9,51726,2727,15.3,0.8,35918,2782,14.4,1.1,128011,5166,15.2,0.6,73445,3998,18.9,1.0,15679,1583,15.2,1.5
    Moved in 1980 to 1989,50775,2999,8.5,0.5,37132,2631,10.3,0.7,17772,1557,5.3,0.5,14614,1865,5.8,0.8,52437,3079,6.2,0.4,38816,2200,10.0,0.6,4286,987,4.2,1.0
    Moved in 1970 to 1979,35403,2408,5.9,0.4,17853,1563,5.0,0.4,10232,1213,3.0,0.4,10609,1301,4.2,0.5,36573,2644,4.3,0.3,17110,1651,4.4,0.4,1553,547,1.5,0.5
    Moved in 1969 or earlier,27564,1921,4.6,0.3,13487,1255,3.8,0.3,5769,1073,1.7,0.3,9225,1208,3.7,0.5,27731,1986,3.3,0.2,9560,1056,2.5,0.3,690,323,0.7,0.3
VEHICLES AVAILABLE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Occupied housing units,599235,3770,599235,N/A,359476,2836,359476,N/A,338054,3843,338054,N/A,249899,3777,249899,N/A,843416,4626,843416,N/A,389415,3502,389415,N/A,102979,2217,102979,N/A
    No vehicles available,31267,2142,5.2,0.3,29180,2723,8.1,0.8,15887,1892,4.7,0.6,20302,1997,8.1,0.8,57890,3667,6.9,0.4,15531,2125,4.0,0.5,2944,915,2.9,0.9
    1 vehicle available,168953,5440,28.2,0.9,117835,4895,32.8,1.3,110880,4566,32.8,1.4,101683,4184,40.7,1.5,335530,6361,39.8,0.7,116197,4302,29.8,1.1,21776,2476,21.1,2.2
    2 vehicles available,249590,6964,41.7,1.1,141797,4297,39.4,1.2,144133,5393,42.6,1.4,90348,4278,36.2,1.6,314965,7220,37.3,0.8,168487,5072,43.3,1.2,50520,2257,49.1,2.2
    3 or more vehicles available,149425,5973,24.9,1.0,70664,3898,19.7,1.1,67154,3794,19.9,1.1,37566,2710,15.0,1.1,135031,6100,16.0,0.7,89200,4115,22.9,1.0,27739,2121,26.9,2.0
HOUSE HEATING FUEL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Occupied housing units,599235,3770,599235,N/A,359476,2836,359476,N/A,338054,3843,338054,N/A,249899,3777,249899,N/A,843416,4626,843416,N/A,389415,3502,389415,N/A,102979,2217,102979,N/A
    Utility gas,401603,5475,67.0,0.8,204759,4708,57.0,1.2,147026,4391,43.5,1.3,85865,3289,34.4,1.2,326318,6862,38.7,0.8,226402,5496,58.1,1.3,63069,2565,61.2,2.2
    Bottled tank or LP gas,8862,1190,1.5,0.2,2816,683,0.8,0.2,16502,1953,4.9,0.6,3090,729,1.2,0.3,5117,1041,0.6,0.1,5065,1061,1.3,0.3,5739,1152,5.6,1.1
    Electricity,178541,5382,29.8,0.9,136695,4268,38.0,1.2,171229,5649,50.7,1.4,159045,3716,63.6,1.2,509682,7729,60.4,0.8,145688,4963,37.4,1.2,28775,2317,27.9,2.1
    Fuel oil kerosene etc.,462,269,0.1,0.1,13888,1788,3.9,0.5,1575,600,0.5,0.2,380,247,0.2,0.1,174,203,0.0,0.1,10387,1655,2.7,0.4,3816,965,3.7,0.9
    Coal or coke,0,294,0.0,0.1,0,289,0.0,0.1,0,289,0.0,0.1,0,287,0.0,0.1,0,294,0.0,0.1,0,287,0.0,0.1,0,287,0.0,0.2
    Wood,1887,625,0.3,0.1,412,245,0.1,0.1,1091,573,0.3,0.2,674,377,0.3,0.2,417,365,0.0,0.1,613,290,0.2,0.1,1070,510,1.0,0.5
    Solar energy,850,370,0.1,0.1,0,289,0.0,0.1,0,289,0.0,0.1,61,100,0.0,0.1,44,72,0.0,0.1,0,287,0.0,0.1,61,102,0.1,0.1
    Other fuel,1238,577,0.2,0.1,427,289,0.1,0.1,132,156,0.0,0.1,223,161,0.1,0.1,258,194,0.0,0.1,514,289,0.1,0.1,223,211,0.2,0.2
    No fuel used,5792,1262,1.0,0.2,479,298,0.1,0.1,499,269,0.1,0.1,561,273,0.2,0.1,1406,470,0.2,0.1,746,380,0.2,0.1,226,208,0.2,0.2
SELECTED CHARACTERISTICS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Occupied housing units,599235,3770,599235,N/A,359476,2836,359476,N/A,338054,3843,338054,N/A,249899,3777,249899,N/A,843416,4626,843416,N/A,389415,3502,389415,N/A,102979,2217,102979,N/A
    Lacking complete plumbing facilities,3645,1269,0.6,0.2,1527,830,0.4,0.2,776,487,0.2,0.1,189,184,0.1,0.1,4247,1158,0.5,0.1,1590,938,0.4,0.2,548,447,0.5,0.4
    Lacking complete kitchen facilities,6765,1368,1.1,0.2,2955,898,0.8,0.2,1703,591,0.5,0.2,1028,405,0.4,0.2,7170,1299,0.9,0.2,2292,1027,0.6,0.3,757,477,0.7,0.5
    No telephone service available,10027,1634,1.7,0.3,5286,1022,1.5,0.3,6511,1280,1.9,0.4,4920,1010,2.0,0.4,17779,2310,2.1,0.3,4533,1139,1.2,0.3,894,496,0.9,0.5
OCCUPANTS PER ROOM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Occupied housing units,599235,3770,599235,N/A,359476,2836,359476,N/A,338054,3843,338054,N/A,249899,3777,249899,N/A,843416,4626,843416,N/A,389415,3502,389415,N/A,102979,2217,102979,N/A
    1.00 or less,551916,4276,92.1,0.5,350327,3061,97.5,0.5,330284,4125,97.7,0.5,243125,3977,97.3,0.5,783874,5418,92.9,0.5,377798,3709,97.0,0.4,101545,2359,98.6,0.7
    1.01 to 1.50,32292,3177,5.4,0.5,6763,1435,1.9,0.4,6206,1382,1.8,0.4,4225,1156,1.7,0.5,42260,3777,5.0,0.4,8054,1607,2.1,0.4,1265,631,1.2,0.6
    1.51 or more,15027,2309,2.5,0.4,2386,803,0.7,0.2,1564,784,0.5,0.2,2549,693,1.0,0.3,17282,2272,2.0,0.3,3563,1167,0.9,0.3,169,197,0.2,0.2
VALUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Owner-occupied units,342955,4963,342955,N/A,238022,4307,238022,N/A,224624,3870,224624,N/A,135598,3957,135598,N/A,448918,6552,448918,N/A,272224,4427,272224,N/A,80627,2460,80627,N/A
    Less than $50000,7522,1182,2.2,0.3,1800,548,0.8,0.2,6275,1561,2.8,0.7,3506,828,2.6,0.6,30301,2659,6.7,0.6,2668,841,1.0,0.3,1071,568,1.3,0.7
    $50000 to $99999,9155,1427,2.7,0.4,2240,730,0.9,0.3,8192,1270,3.6,0.6,13382,1769,9.9,1.2,113327,5053,25.2,1.0,3103,896,1.1,0.3,906,544,1.1,0.7
    $100000 to $149999,4362,878,1.3,0.3,4056,869,1.7,0.4,33656,2891,15.0,1.2,35378,2534,26.1,1.7,119343,5533,26.6,1.1,6579,1311,2.4,0.5,2096,623,2.6,0.7
    $150000 to $199999,5612,1190,1.6,0.3,9939,1612,4.2,0.7,41619,3057,18.5,1.4,31388,2244,23.1,1.5,63981,4044,14.3,0.9,8558,1339,3.1,0.5,2166,722,2.7,0.9
