Geographic Area Name (NAME),2017 NAICS code (NAICS2017),Meaning of NAICS code (NAICS2017_LABEL),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),"Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)",Number of employees (EMP),Meaning of NAICS Code (NAICS2017_LABEL)
Loudoun County Virginia,72,Accommodation and food services,All establishments,All establishments,2019,780,409627,95782,17444,
Loudoun County Virginia,81,Other services (except public administration),All establishments,All establishments,2019,890,336865,82795,7626,
Loudoun County Virginia,99,Industries not classified,All establishments,All establishments,2019,17,545,114,18,
Loudoun County Virginia,0,Total for all sectors,All establishments,All establishments,2020,11348,10346522,2666820,169437,
Loudoun County Virginia,11,Agriculture forestry fishing and hunting,All establishments,All establishments,2020,25,2173,461,56,
Loudoun County Virginia,21,Mining quarrying and oil and gas extraction,All establishments,All establishments,2020,7,23739,5916,233,
Loudoun County Virginia,22,Utilities,All establishments,All establishments,2020,7,11732,3070,127,
Loudoun County Virginia,23,Construction,All establishments,All establishments,2020,890,968326,239505,14153,
Loudoun County Virginia,31-33,Manufacturing,All establishments,All establishments,2020,194,507966,122985,5952,
Loudoun County Virginia,42,Wholesale trade,All establishments,All establishments,2020,302,272645,77425,3994,
Loudoun County Virginia,44-45,Retail trade,All establishments,All establishments,2020,1032,608112,149205,19936,
Loudoun County Virginia,48-49,Transportation and warehousing,All establishments,All establishments,2020,348,600533,187384,14920,
Loudoun County Virginia,51,Information,All establishments,All establishments,2020,334,1197133,401367,9492,
Loudoun County Virginia,52,Finance and insurance,All establishments,All establishments,2020,405,376329,83074,3458,
Loudoun County Virginia,53,Real estate and rental and leasing,All establishments,All establishments,2020,522,103549,24876,1756,
Loudoun County Virginia,54,Professional scientific and technical services,All establishments,All establishments,2020,3370,2931362,703251,29783,
Loudoun County Virginia,55,Management of companies and enterprises,All establishments,All establishments,2020,55,278367,73144,3308,
