label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
VEHICLES AVAILABLE,N/A,N/A,0.127,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.1345,N/A,N/A,N/A,0.1385,N/A,N/A,N/A,0.14100000000000001,N/A,N/A,N/A,0.129,N/A
    Occupied housing units,665549,3723,6655.49,N/A,392629,2507,3926.29,N/A,481294,4227,4812.94,N/A,341597,3999,3415.97,N/A,993312,5968,9933.12,N/A,414946,2811,4149.46,N/A,145601,1354,1456.01,N/A
        No vehicles available,39177,3870,0.059000000000000004,0.6,34860,3724,0.08900000000000001,0.9,21397,2997,0.044000000000000004,0.6,21833,3910,0.064,1.1,65606,4753,0.066,0.5,18340,2574,0.044000000000000004,0.6,4160,1050,0.028999999999999998,0.7
        1 vehicle available,217368,6604,0.327,1.0,138942,5373,0.354,1.4,149182,5822,0.31,1.2,138299,6054,0.405,1.7,382710,8674,0.385,0.8,136189,5155,0.32799999999999996,1.2,36397,2969,0.25,2.0
        2 vehicles available,250244,6612,0.376,1.0,149718,4900,0.381,1.2,208475,5319,0.433,1.1,127495,5665,0.373,1.6,347605,8374,0.35,0.8,175286,5334,0.42200000000000004,1.3,66646,3576,0.45799999999999996,2.4
        3 or more vehicles available,158760,5786,0.239,0.9,69109,3734,0.17600000000000002,1.0,102240,5303,0.212,1.1,53970,4671,0.158,1.4,197391,7381,0.19899999999999998,0.7,85131,3905,0.205,0.9,38398,2891,0.264,2.0
HOUSE HEATING FUEL,N/A,N/A,0.127,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.1345,N/A,N/A,N/A,0.1385,N/A,N/A,N/A,0.14100000000000001,N/A,N/A,N/A,0.129,N/A
    Occupied housing units,665549,3723,6655.49,N/A,392629,2507,3926.29,N/A,481294,4227,4812.94,N/A,341597,3999,3415.97,N/A,993312,5968,9933.12,N/A,414946,2811,4149.46,N/A,145601,1354,1456.01,N/A
        Utility gas,385101,6507,0.579,0.9,206169,5585,0.525,1.4,198851,6012,0.413,1.2,101575,5915,0.297,1.7,353376,8135,0.35600000000000004,0.8,222818,5512,0.537,1.2,85387,2981,0.586,2.0
        Bottled tank or LP gas,14966,2011,0.022000000000000002,0.3,7526,1700,0.019,0.4,13967,2174,0.028999999999999998,0.5,4894,1794,0.013999999999999999,0.5,13109,2211,0.013000000000000001,0.2,7927,1699,0.019,0.4,11726,1713,0.081,1.2
        Electricity,244417,6278,0.36700000000000005,0.9,164798,6094,0.42,1.5,263761,7031,0.5479999999999999,1.3,230138,6795,0.674,1.9,615644,9118,0.62,0.8,176144,4837,0.424,1.2,45498,3009,0.312,2.0
        Fuel oil kerosene etc.,528,327,0.001,0.1,8851,1425,0.023,0.4,770,456,0.002,0.1,402,406,0.001,0.1,424,273,0.0,0.1,3540,762,0.009000000000000001,0.2,1734,697,0.012,0.5
        Coal or coke,40,66,0.0,0.1,155,191,0.0,0.1,0,222,0.0,0.1,0,226,0.0,0.1,0,236,0.0,0.1,111,131,0.0,0.1,0,216,0.0,0.1
        Wood,1004,443,0.002,0.1,745,416,0.002,0.1,654,556,0.001,0.1,277,331,0.001,0.1,425,405,0.0,0.1,331,214,0.001,0.1,513,379,0.004,0.3
        Solar energy,6558,1306,0.01,0.2,1219,494,0.003,0.1,1186,839,0.002,0.2,327,377,0.001,0.1,2532,966,0.003,0.1,272,202,0.001,0.1,188,235,0.001,0.2
        Other fuel,1137,479,0.002,0.1,464,301,0.001,0.1,671,643,0.001,0.1,1053,874,0.003,0.3,1392,763,0.001,0.1,2014,871,0.005,0.2,243,229,0.002,0.2
        No fuel used,11798,2371,0.018000000000000002,0.4,2702,930,0.006999999999999999,0.2,1434,662,0.003,0.1,2931,1468,0.009000000000000001,0.4,6410,1723,0.006,0.2,1789,824,0.004,0.2,312,356,0.002,0.2
SELECTED CHARACTERISTICS,N/A,N/A,0.127,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.1345,N/A,N/A,N/A,0.1385,N/A,N/A,N/A,0.14100000000000001,N/A,N/A,N/A,0.129,N/A
    Occupied housing units,665549,3723,6655.49,N/A,392629,2507,3926.29,N/A,481294,4227,4812.94,N/A,341597,3999,3415.97,N/A,993312,5968,9933.12,N/A,414946,2811,4149.46,N/A,145601,1354,1456.01,N/A
        Lacking complete plumbing facilities,4007,1167,0.006,0.2,780,396,0.002,0.1,197,172,0.0,0.1,751,537,0.002,0.2,4311,1561,0.004,0.2,866,548,0.002,0.1,216,245,0.001,0.2
